task,MT_001,MT_002,MT_003,MT_004,MT_005,MT_006,MT_007,MT_008,MT_009,MT_010,MT_011,MT_012,MT_013,MT_014,MT_015,MT_016,MT_017,MT_018,MT_019,MT_020,MT_021,MT_022,MT_023,MT_024,MT_025,MT_026,MT_027,MT_028,MT_029,MT_030,MT_031,MT_032,MT_033,MT_034,MT_035,MT_036,MT_037,MT_038,MT_039,MT_040,MT_041,MT_042,MT_043,MT_044,MT_045,MT_046,MT_047,MT_048,MT_049,MT_050
MT_001,1.0,0.042650699615478516,0.09712181985378265,0.0346817821264267,0.03681579604744911,0.08251825720071793,0.03818525746464729,0.05562605708837509,0.05878846347332001,0.04165397211909294,0.04116591438651085,0.04149540141224861,0.03856348246335983,0.0350482277572155,0.07071553170681,0.030131205916404724,0.03532209247350693,0.037664204835891724,0.0481649786233902,0.03105141595005989,0.04873582348227501,0.03659381717443466,0.06530388444662094,0.04291358217597008,0.03871767967939377,0.05020851641893387,0.008465918712317944,0.010739577002823353,0.03979741036891937,0.06064341962337494,0.008151190355420113,0.010858677327632904,0.008609965443611145,0.010946841910481453,0.010853530839085579,0.010992792434990406,0.010482937097549438,0.008307470008730888,0.010769122280180454,0.008188581094145775,0.011126192286610603,0.01100512221455574,0.010353095829486847,0.008199792355298996,0.010362972505390644,0.00921725109219551,0.010946841910481453,0.03992526978254318,0.037114161998033524,0.037408873438835144
MT_002,0.042650699615478516,1.0,0.051526762545108795,0.17005005478858948,0.15979155898094177,0.042467150837183,0.25445878505706787,0.07178005576133728,0.05318304896354675,0.1863204389810562,0.21268512308597565,0.05928187444806099,0.11238250136375427,0.10864745825529099,0.04705687612295151,0.062064044177532196,0.03508317470550537,0.036491863429546356,0.05671631917357445,0.141222283244133,0.056702226400375366,0.0939033031463623,0.04846072569489479,0.14440160989761353,0.11936089396476746,0.048595648258924484,0.011416064575314522,0.015405766665935516,0.13162799179553986,0.056660961359739304,0.012770364060997963,0.015394112095236778,0.012338661588728428,0.015613031573593616,0.015500262379646301,0.015502793714404106,0.014055110514163971,0.01233869418501854,0.01546141691505909,0.012783406302332878,0.015694672241806984,0.015614529140293598,0.014761440455913544,0.012776089832186699,0.013933176174759865,0.013604382053017616,0.015613031573593616,0.0370573028922081,0.03279423713684082,0.03619883954524994
MT_003,0.09712181985378265,0.051526762545108795,1.0,0.03899766877293587,0.03951818868517876,0.0534941628575325,0.042493075132369995,0.05371886119246483,0.051376823335886,0.04408777505159378,0.0453919842839241,0.03722435235977173,0.041803304105997086,0.03985762596130371,0.05953520908951759,0.027778156101703644,0.03860829025506973,0.04071037471294403,0.043830081820487976,0.031646303832530975,0.05235220864415169,0.03948237746953964,0.07187268882989883,0.043357111513614655,0.04257878288626671,0.056264691054821014,0.0096910884603858,0.013022143393754959,0.042381733655929565,0.06323032081127167,0.014198563992977142,0.01300114206969738,0.011342935264110565,0.013196534477174282,0.01330002024769783,0.013296962715685368,0.011818764731287956,0.015422048047184944,0.013171210885047913,0.010944453068077564,0.01446559838950634,0.014182834886014462,0.013285534456372261,0.011093729175627232,0.011881926096975803,0.013379635289311409,0.013196534477174282,0.04255982115864754,0.03816088289022446,0.04117106646299362
MT_004,0.0346817821264267,0.17005005478858948,0.03899766877293587,1.0,0.32424575090408325,0.050476860255002975,0.1785445660352707,0.06797420233488083,0.0382278710603714,0.3422163426876068,0.18915946781635284,0.047183845192193985,0.17398005723953247,0.19698622822761536,0.035654835402965546,0.08654327690601349,0.02941843681037426,0.02996247634291649,0.06701986491680145,0.16510000824928284,0.048324234783649445,0.0759868174791336,0.038578253239393234,0.11937131732702255,0.09925177693367004,0.036475297063589096,0.010680193081498146,0.013022143393754959,0.11936859786510468,0.05568312108516693,0.01095407735556364,0.013397560454905033,0.010913081467151642,0.013196534477174282,0.013273230753839016,0.01309814304113388,0.013288749381899834,0.010538479313254356,0.013118947856128216,0.010926740244030952,0.014671124517917633,0.013196738436818123,0.013260485604405403,0.010924123227596283,0.013322222977876663,0.012365800328552723,0.013196534477174282,0.03019682690501213,0.03367850184440613,0.02935478463768959
MT_005,0.03681579604744911,0.15979155898094177,0.03951818868517876,0.32424575090408325,1.0,0.04327788203954697,0.2082551121711731,0.07570967078208923,0.05211156979203224,0.35351449251174927,0.24558648467063904,0.05016688257455826,0.13580138981342316,0.16873857378959656,0.03748176246881485,0.06396455317735672,0.03173469007015228,0.031514428555965424,0.05706869065761566,0.2099088430404663,0.059686146676540375,0.07250439375638962,0.045507967472076416,0.12866996228694916,0.0962267816066742,0.03847377747297287,0.010622759349644184,0.014589998871088028,0.11321452260017395,0.05133722350001335,0.01223762147128582,0.014566456899046898,0.011805878952145576,0.014785376377403736,0.014871299266815186,0.014675138518214226,0.01328791119158268,0.011805909685790539,0.014682840555906296,0.012241620570421219,0.01630469225347042,0.014786917716264725,0.013968387618660927,0.01223823707550764,0.013323569670319557,0.012935591861605644,0.014785376377403736,0.03277825564146042,0.03476579487323761,0.03172082453966141
MT_006,0.08251825720071793,0.042467150837183,0.0534941628575325,0.050476860255002975,0.04327788203954697,1.0,0.03845613822340965,0.06251340359449387,0.06623492389917374,0.04231273755431175,0.04070263355970383,0.04597628489136696,0.04896322637796402,0.03487464785575867,0.14637663960456848,0.038658276200294495,0.04377634823322296,0.04036765918135643,0.05798657238483429,0.028935950249433517,0.051290277391672134,0.04022921621799469,0.0663289949297905,0.0363701730966568,0.049732793122529984,0.04693244770169258,0.012128983624279499,0.014554672874510288,0.03756419196724892,0.0655425637960434,0.013013647869229317,0.014146851375699043,0.014020340517163277,0.014353672973811626,0.014268414117395878,0.01445938553661108,0.012993314303457737,0.01342700980603695,0.01483478769659996,0.01317833922803402,0.015327529050409794,0.015708724036812782,0.014353593811392784,0.013088024221360683,0.01283975038677454,0.01401011273264885,0.014353672973811626,0.03932500630617142,0.03633682429790497,0.04142605513334274
MT_007,0.03818525746464729,0.25445878505706787,0.042493075132369995,0.1785445660352707,0.2082551121711731,0.03845613822340965,1.0,0.07750441133975983,0.053729116916656494,0.234856516122818,0.4423515498638153,0.05114402621984482,0.1158716231584549,0.11806250363588333,0.04165942966938019,0.07304681837558746,0.03043733350932598,0.030547363683581352,0.050013668835163116,0.14276957511901855,0.05507887527346611,0.07764212787151337,0.051253851503133774,0.1317063271999359,0.11657088249921799,0.041841574013233185,0.012821873649954796,0.014215502887964249,0.12451821565628052,0.057449646294116974,0.014036085456609726,0.013817166909575462,0.013604382053017616,0.014036085456609726,0.013934405520558357,0.01392584852874279,0.012475311756134033,0.013604388572275639,0.014231754466891289,0.014042035676538944,0.014630351215600967,0.014036275446414948,0.013968387618660927,0.014036349020898342,0.012379316613078117,0.015181329101324081,0.014036085456609726,0.032093342393636703,0.03376559913158417,0.030375320464372635
MT_008,0.05562605708837509,0.07178005576133728,0.05371886119246483,0.06797420233488083,0.07570967078208923,0.06251340359449387,0.07750441133975983,1.0,0.08633844554424286,0.07884716242551804,0.08367042243480682,0.057175129652023315,0.09107046574354172,0.08053918182849884,0.08400027453899384,0.04420588165521622,0.03877050429582596,0.04059537500143051,0.07647152245044708,0.06964051723480225,0.09997855126857758,0.06760886311531067,0.06744089722633362,0.06586995720863342,0.07815821468830109,0.05188451334834099,0.011369160376489162,0.015405766665935516,0.08183854818344116,0.11378548294305801,0.012782227247953415,0.015394112095236778,0.012338701635599136,0.015613031573593616,0.015500262379646301,0.015502793714404106,0.018835831433534622,0.012342355214059353,0.015996625646948814,0.014910578727722168,0.01643655076622963,0.01569664105772972,0.014761440455913544,0.013089144602417946,0.014169949106872082,0.013604661449790001,0.015613031573593616,0.0428365021944046,0.039491456001996994,0.040059298276901245
MT_009,0.05878846347332001,0.05318304896354675,0.051376823335886,0.0382278710603714,0.05211156979203224,0.06623492389917374,0.053729116916656494,0.08633844554424286,1.0,0.06180032342672348,0.05247540771961212,0.043180663138628006,0.04622650891542435,0.05591566860675812,0.10548897087574005,0.030344879254698753,0.04119386523962021,0.043028973042964935,0.0625024139881134,0.04996148496866226,0.08432094752788544,0.07365769147872925,0.09165096282958984,0.047564052045345306,0.050352536141872406,0.050119176506996155,0.01212781760841608,0.015405766665935516,0.05004684999585152,0.11806344985961914,0.012798232957720757,0.015394112095236778,0.012354204431176186,0.015613031573593616,0.015500262379646301,0.015502793714404106,0.015124838799238205,0.012406713329255581,0.01747109368443489,0.013077588751912117,0.015879394486546516,0.01572525128722191,0.014761440455913544,0.01690112054347992,0.014157284051179886,0.013605167157948017,0.015613031573593616,0.044813089072704315,0.04033616930246353,0.04229126125574112
MT_010,0.04165397211909294,0.1863204389810562,0.04408777505159378,0.3422163426876068,0.35351449251174927,0.04231273755431175,0.234856516122818,0.07884716242551804,0.06180032342672348,1.0,0.24143269658088684,0.06286043673753738,0.14855436980724335,0.18350400030612946,0.044076066464185715,0.0736532062292099,0.03180418908596039,0.03268095850944519,0.06374584138393402,0.1894417405128479,0.056416697800159454,0.07962942123413086,0.05231501907110214,0.1360754370689392,0.09731192886829376,0.044650036841630936,0.011969532817602158,0.014566216617822647,0.12466029822826385,0.055887121707201004,0.01193082146346569,0.014974506571888924,0.011545502580702305,0.014773480594158173,0.014662200585007668,0.014675090089440346,0.01597953774034977,0.011545540764927864,0.014686296693980694,0.011945415288209915,0.01630520075559616,0.014773700386285782,0.014761440455913544,0.01193121075630188,0.014699574559926987,0.013604383915662766,0.014773480594158173,0.03321615234017372,0.036833688616752625,0.031673651188611984
