task_i,task_j,task_i_index,task_j_index,similarity
MT_007,MT_011,6,10,0.4423515498638153
MT_005,MT_010,4,9,0.35351449251174927
MT_024,MT_025,23,24,0.3458406329154968
MT_004,MT_010,3,9,0.3422163426876068
MT_004,MT_005,3,4,0.32424575090408325
MT_013,MT_014,12,13,0.27166861295700073
MT_002,MT_007,1,6,0.25445878505706787
MT_005,MT_011,4,10,0.24558648467063904
MT_010,MT_011,9,10,0.24143269658088684
MT_007,MT_010,6,9,0.234856516122818
MT_002,MT_011,1,10,0.21268512308597565
MT_005,MT_020,4,19,0.2099088430404663
MT_005,MT_007,4,6,0.2082551121711731
MT_004,MT_014,3,13,0.19698622822761536
MT_010,MT_020,9,19,0.1894417405128479
MT_004,MT_011,3,10,0.18915946781635284
MT_002,MT_010,1,9,0.1863204389810562
MT_010,MT_014,9,13,0.18350400030612946
MT_014,MT_024,13,23,0.17927977442741394
MT_004,MT_007,3,6,0.1785445660352707
