metric,method_rank,method,avg_rank,std_rank,n_datasets
test_mae,1,ale_frechet,2.6666666666666665,0.816496580927726,6
test_mae,1,mmoe,2.6666666666666665,2.250925735484551,6
test_mae,3,soft,3.3333333333333335,2.7325202042558927,6
test_mae,4,crossstitch,3.8333333333333335,1.4719601443879746,6
test_mae,5,hard,4.666666666666667,1.0327955589886444,6
test_mae,6,single_task_mlp,5.333333333333333,1.505545305418162,6
test_mae,7,ple,6.0,2.5298221281347035,6
test_mae,8,mtan,7.5,0.8366600265340756,6
test_rmse,1,ale_frechet,2.5,0.5477225575051662,6
test_rmse,1,mmoe,2.5,2.345207879911715,6
test_rmse,3,soft,3.1666666666666665,2.6394443859772205,6
test_rmse,4,crossstitch,3.8333333333333335,1.1690451944500122,6
test_rmse,5,hard,4.666666666666667,1.5055453054181622,6
test_rmse,6,single_task_mlp,5.166666666666667,1.7224014243685086,6
test_rmse,7,ple,6.833333333333333,1.1690451944500124,6
test_rmse,8,mtan,7.333333333333333,0.8164965809277259,6
total_time,1,mtan,2.3333333333333335,2.804757862395017,6
total_time,2,hard,3.1666666666666665,1.329160135825126,6
total_time,3,single_task_mlp,3.5,2.588435821108957,6
total_time,4,ple,3.8333333333333335,1.329160135825126,6
total_time,5,soft,4.166666666666667,2.041241452319315,6
total_time,6,mmoe,5.5,0.5477225575051661,6
total_time,7,ale_frechet,6.666666666666667,1.8618986725025257,6
total_time,8,crossstitch,6.833333333333333,1.1690451944500122,6
