dataset,method,combo_index,combo_tag,sweep__similarity__update_every,sweep__similarity__keep_epochs,sweep__regularization__l2,sweep__optim__lr,seed_mean,seed_std,seed_n,best_epoch_mean,best_epoch_std,best_epoch_n,best_test_loss_mean,best_test_loss_std,best_test_loss_n,time_train_mean,time_train_std,time_train_n,time_validation_mean,time_validation_std,time_validation_n,time_test_mean,time_test_std,time_test_n,time_ale_mean,time_ale_std,time_ale_n,time_similarity_mean,time_similarity_std,time_similarity_n,total_time_mean,total_time_std,total_time_n,train_loss_mean,train_loss_std,train_loss_n,train_rmse_mean,train_rmse_std,train_rmse_n,train_mae_mean,train_mae_std,train_mae_n,train_mape_mean,train_mape_std,train_mape_n,val_loss_mean,val_loss_std,val_loss_n,val_rmse_mean,val_rmse_std,val_rmse_n,val_mae_mean,val_mae_std,val_mae_n,val_mape_mean,val_mape_std,val_mape_n,test_loss_mean,test_loss_std,test_loss_n,test_rmse_mean,test_rmse_std,test_rmse_n,test_mae_mean,test_mae_std,test_mae_n,test_mape_mean,test_mape_std,test_mape_n
electricity,ale_frechet,1,optim-lr_1e-3__regularization-l2_0.01__similarity-keep_epochs_1__similarity-update_every_10,10.0,1.0,0.01,0.001,2.0,1.5811388300841898,5,185.4,33.6124976757158,5,107.27430114746092,61.32745766707497,5,19241.38450655937,9272.360051715972,5,1117.6706829071045,518.2455166253203,5,5.3685047149658205,2.533374085969581,5,19829.887840747837,9961.667307891628,5,9009.549824333191,4539.853967964317,5,49203.86135926247,24280.53090171722,5,44.979872916925565,11.855181302306146,5,44.979872916925565,11.855181302306146,5,31.144158173872405,10.61585541491589,5,892577376.9257762,188274440.2625064,5,55.79509236793207,10.67536617658369,5,55.79509236793207,10.67536617658369,5,43.70735344339798,10.333170302578074,5,111036489.63155104,29516569.22225044,5,58.68010784887929,10.586564999112674,5,58.68010784887929,10.586564999112674,5,46.04868337617289,10.29289564195079,5,122159538.5763662,32118358.76498547,5
electricity,crossstitch,1,optim-lr_1e-3,,,,0.001,1.5,1.2909944487358056,4,6.75,1.8929694486000912,4,82.51037979125977,3.921047666393634,4,115037.34883755444,8974.443350137753,4,1334.1670415997503,70.81428886801642,4,46.290478348732,11.17391658483846,4,2.968311309814453e-05,1.1760909229078882e-06,4,1.7464160919189453e-05,2.6788955991559304e-06,4,116417.8064046502,9040.324712894391,4,60.63212585449219,3.412581096408029,2,60.63212585449219,3.412581096408029,2,39.50051307678223,3.707689957933429,2,6022808832.0,663307342.6519179,2,79.87629318237305,3.213081517792623,2,79.87629318237305,3.213081517792623,2,62.10503387451172,3.407698805476527,2,469271672.0,307181588.0983555,2,85.07884979248047,3.5224677085447844,2,82.51037979125977,3.921047666393634,4,66.73088836669922,3.693072756520274,2,309446448.0,119052231.2043718,2
electricity,hard,1,optim-lr_1e-3,,,,0.001,2.0,1.5811388300841898,5,235.2,51.96344869232603,5,75.97732543945312,23.171735435559555,5,13645.603501415251,3748.7080506783727,5,903.8571817398072,261.9464256503783,5,3.595679521560669,0.7328743045399764,5,0.0002999305725097,0.0001338112460426,5,0.000169038772583,5.3135259210786514e-05,5,14553.056831645965,4009.511966085477,5,40.713076723205,14.96381856434808,5,40.713076723205,14.96381856434808,5,26.465468889237616,9.487464744497062,5,5491765685.453331,1761253196.4432156,5,54.655164556790815,23.98421950395936,5,54.655164556790815,23.98421950395936,5,42.9877660731313,24.0591341486194,5,356285248.05556697,150918076.6861182,5,57.00934029014777,22.984308504866725,5,57.00934029014777,22.984308504866725,5,44.50018280485297,22.862730710080587,5,385767226.3802706,168534642.47196272,5
electricity,mmoe,1,optim-lr_1e-3,,,,0.001,2.0,1.5811388300841898,5,195.8,65.15136222674089,5,76.31032867431641,9.560956133044554,5,30310.70813326836,11515.862936206582,5,878.9892627716065,291.5467350139595,5,3.93878059387207,1.0401222466229458,5,0.0001708507537841,6.19183194338454e-05,5,0.0001113414764404,6.10260751793373e-05,5,31193.636458826066,11791.413649903036,5,43.40968561679288,8.544050017551296,5,43.40968561679288,8.544050017551296,5,30.88561061947764,8.451022855451678,5,2729972592.585389,670637288.4787241,5,51.03690359152536,7.749780117340579,5,51.03690359152536,7.749780117340579,5,39.4032694744309,8.02050783226521,5,267791786.6995522,94601516.7368369,5,53.649739716846646,7.4001110530112975,5,53.649739716846646,7.4001110530112975,5,41.28364706928973,7.809300543274478,5,273281206.1049293,64236220.454287104,5
electricity,mtan,1,optim-lr_1e-3,,,,0.001,2.0,1.5811388300841898,5,114.2,20.203960007879644,5,133.4147705078125,3.659809033065381,5,7183.803600025177,762.1151706261587,5,476.90169925689696,65.53260667756327,5,4.100500297546387,0.1669966132972203,5,0.0001286029815673,2.240475090859132e-05,5,7.925033569335937e-05,1.44519816606674e-05,5,7664.806007432938,825.0567021985083,5,72.1172020934199,4.237006895492774,5,72.1172020934199,4.237006895492774,5,48.27921811765978,3.673952021602042,5,17745468404.318855,2868949069.775368,5,92.85308918384357,6.092954252636551,5,92.85308918384357,6.092954252636551,5,76.31383373608111,5.930592489338808,5,294537062.5405294,87841053.29188198,5,112.56019935116858,3.1159577023492107,5,112.56019935116858,3.1159577023492107,5,92.42604381805512,2.342283523318647,5,397964665.6228863,92214561.05362456,5
electricity,ple,1,optim-lr_1e-3,,,,0.001,2.0,1.5811388300841898,5,91.6,19.882152800941853,5,99.50745239257812,8.258304636448837,5,12440.727571773528,2330.908511719813,5,505.3413246154785,103.57554654916912,5,4.306176280975341,0.9037931479970912,5,0.0001132488250732,2.7772438685183985e-05,5,6.82830810546875e-05,1.91029678427886e-05,5,12950.375254201888,2434.443766033244,5,40.054753112792966,2.272203770423145,5,40.054753112792966,2.272203770423145,5,25.742528915405277,1.7032742982825086,5,3825300633.6,1083617237.6405897,5,53.58726959228515,3.763260346042578,5,53.58726959228515,3.763260346042578,5,40.9669075012207,3.0603491073062763,5,105023120.8,70591319.5621429,5,50.60616073608399,2.017852111118703,5,99.50745239257812,8.258304636448837,5,38.29580841064453,1.6308334714959027,5,5972074.4,841508.8721993221,5
electricity,single_task_mlp,1,optim-lr_1e-3,,,,0.001,2.0,1.5811388300841898,5,203.8,51.455806280729874,5,222.59610290527343,69.87457660982543,5,22841.61042575836,4867.122251249225,5,1759.8428605556487,365.14095340518617,5,8.18395185470581,0.8240199584302983,5,0.0002332210540771,4.766922969121698e-05,5,0.0001581192016601,3.0846610137822883e-05,5,24609.63762950897,5232.545700331141,5,154.5671304843169,49.25028458226653,5,154.5671304843169,49.25028458226653,5,128.48124058224883,42.926938799224416,5,2723178526.022463,331601272.6239963,5,173.10181932135976,57.09405800359859,5,173.10181932135976,57.09405800359859,5,158.3938576810163,56.83727080285986,5,327410928.4743007,165362607.2037152,5,175.0789091863768,55.020317676087984,5,175.0789091863768,55.020317676087984,5,160.02195491972492,54.857999023466405,5,348990918.5122613,185670697.689742,5
electricity,soft,1,optim-lr_1e-3,,,,0.001,2.0,1.5811388300841898,5,175.6,20.23116407921205,5,223.07062072753905,69.35491284789978,5,9365.519027805329,1690.7995745563317,5,679.7825395107269,148.56866704903794,5,3.2111502170562742,0.864475025213813,5,0.0002156257629394,0.0001189893362282,5,0.0001261711120605,2.3690818154001357e-05,5,10048.513059329987,1839.9304263171855,5,155.0058756392035,48.90742493901343,5,155.0058756392035,48.90742493901343,5,128.7886828468494,42.67462067836883,5,2582212547.285718,193279113.0709788,5,173.23460196208177,57.08525683175,5,173.23460196208177,57.08525683175,5,158.5912447680626,56.814501053798175,5,294848575.47808444,108903819.21697488,5,175.21033048322855,55.111958388152736,5,175.21033048322855,55.111958388152736,5,160.14835760979472,54.96002219263565,5,316779457.03238165,121366724.7368394,5
exchange,ale_frechet,44,optim-lr_1e-3__regularization-l2_0.001__similarity-keep_epochs_1__similarity-update_every_10,10.0,1.0,0.001,0.001,4.5,3.027650354097492,10,72.9,22.51147855354389,10,0.2805004179477691,0.0492132246347094,10,39.521090841293336,8.675460983617528,10,3.6216638803482057,0.8047795021028251,10,0.0386975049972534,0.0012562661202628,10,27.5693167924881,5.957407649798327,10,1.6765642166137695,0.3588472731751851,10,72.42733323574066,15.771379152579662,10,0.1692446170773889,0.0095095153407504,10,0.1692446170773889,0.0095095153407504,10,0.1305569604039192,0.0083043817063959,10,0.0125350126065313,0.0031415529322217,10,0.1730705674671168,0.0109870720324491,10,0.1730705674671168,0.0109870720324491,10,0.1288895802705415,0.0068834914950002,10,0.0133317803897495,0.002790390719735,10,0.2806642356395189,0.0470722107054901,10,0.2806642356395189,0.0470722107054901,10,0.2085262905074549,0.0405517146035649,10,0.0164308666451168,0.0025645245656528,10
exchange,crossstitch,1,optim-lr_1e-2,,,,0.01,4.5,3.027650354097492,10,55.0,18.135294011647257,10,0.336961954832077,0.0946986131617683,10,43.90404677391052,9.713661589338788,10,2.9646639108657835,0.6430914751425306,10,0.0380136728286743,0.0010821889863105,10,5.619525909423828e-05,1.1170418610260111e-05,10,3.757476806640625e-05,8.47286542203658e-06,10,46.90681812763214,10.356318998405303,10,0.3231194174382835,0.1056987472408838,10,0.3231194174382835,0.1056987472408838,10,0.2757651421108416,0.1039260556960015,10,0.7176496415265969,2.156896330504514,10,0.2486083896298493,0.0814892388993117,10,0.2486083896298493,0.0814892388993117,10,0.1933250041146363,0.0816827448350413,10,0.799612395664943,2.416905711705229,10,0.3367099697568587,0.0942386835646071,10,0.3367099697568587,0.0942386835646071,10,0.2631077464802989,0.0884675072172625,10,0.9778886501743858,2.9675276330977858,10
