rank,dataset,method,combo_index,combo_tag,sweep__similarity__update_every,sweep__similarity__keep_epochs,sweep__regularization__l2,sweep__optim__lr,seed_mean,seed_std,seed_n,best_epoch_mean,best_epoch_std,best_epoch_n,best_test_loss_mean,best_test_loss_std,best_test_loss_n,time_train_mean,time_train_std,time_train_n,time_validation_mean,time_validation_std,time_validation_n,time_test_mean,time_test_std,time_test_n,time_ale_mean,time_ale_std,time_ale_n,time_similarity_mean,time_similarity_std,time_similarity_n,total_time_mean,total_time_std,total_time_n,train_loss_mean,train_loss_std,train_loss_n,train_rmse_mean,train_rmse_std,train_rmse_n,train_mae_mean,train_mae_std,train_mae_n,train_mape_mean,train_mape_std,train_mape_n,val_loss_mean,val_loss_std,val_loss_n,val_rmse_mean,val_rmse_std,val_rmse_n,val_mae_mean,val_mae_std,val_mae_n,val_mape_mean,val_mape_std,val_mape_n,test_loss_mean,test_loss_std,test_loss_n,test_rmse_mean,test_rmse_std,test_rmse_n,test_mae_mean,test_mae_std,test_mae_n,test_mape_mean,test_mape_std,test_mape_n
1,multisine,ale_frechet,41,optim-lr_1e-2__regularization-l2_0.01__similarity-keep_epochs_1__similarity-update_every_10,10.0,1.0,0.01,0.01,4.5,3.027650354097492,10,41.7,23.532719538737737,10,0.474969470500946,0.079219037929656,10,5.790086269378662,1.9156075917085664,10,0.4382034778594971,0.148414459667963,10,0.0082091093063354,0.0003350466478584,10,2.7073925971984862,1.0194467368273463,10,0.563921332359314,0.2030046181722337,10,9.507812786102296,3.283215225013422,10,0.5392373141646385,0.0496835249096459,10,0.5392373141646385,0.0496835249096459,10,0.4013969692587852,0.0742644266611659,10,2.419957140684128,2.109197543023659,10,0.4556894467771054,0.04568563314508,10,0.4556894467771054,0.04568563314508,10,0.4331026866286993,0.045200620624525,10,2.8758784465491773,2.119951372762215,10,0.4749601510912179,0.0792217945758051,10,0.4749601510912179,0.0792217945758051,10,0.4520822293311357,0.0799568804239041,10,12.30253597766161,18.88958414901063,10
2,multisine,ale_frechet,39,optim-lr_1e-2__regularization-l2_0.1__similarity-keep_epochs_1__similarity-update_every_10,10.0,1.0,0.1,0.01,4.5,3.027650354097492,10,39.6,16.932545913450554,10,0.4744549095630646,0.0935877391870434,10,5.655543875694275,1.462592584149621,10,0.4249521255493164,0.1142476752203205,10,0.0080629587173461,0.0001970852974176,10,2.616692638397217,0.7598531966849588,10,0.5400503635406494,0.1509515018110339,10,9.245301961898804,2.4833472406414576,10,0.5469246271252632,0.0471337440093589,10,0.5469246271252632,0.0471337440093589,10,0.4210072457790373,0.0719666215092687,10,2.564625164270401,1.544460374694195,10,0.4594489081948995,0.0433040494185074,10,0.4594489081948995,0.0433040494185074,10,0.4364278727024794,0.0434110789907732,10,2.602711987197399,2.56687383037157,10,0.474448517113924,0.093576895160511,10,0.474448517113924,0.093576895160511,10,0.4532315786927938,0.0938361684123181,10,6.140889367237688,4.732950409092287,10
3,multisine,ale_frechet,43,optim-lr_1e-2__regularization-l2_0.001__similarity-keep_epochs_1__similarity-update_every_10,10.0,1.0,0.001,0.01,4.5,3.027650354097492,10,24.1,11.120051958311866,10,0.4644212245941162,0.086927494081951,10,4.351728129386902,0.93969620458541,10,0.3209044933319092,0.0750097089198919,10,0.0084886312484741,0.0005799852686118,10,1.9949537992477415,0.5552794470146171,10,0.4167072772979736,0.1086758942061396,10,7.092782330513001,1.6605599067821208,10,0.5284601423144341,0.0357794847488213,10,0.5284601423144341,0.0357794847488213,10,0.3858587422966957,0.0529540836679809,10,2.0291731953620906,1.283924650590709,10,0.4656013133376836,0.050737670380353,10,0.4656013133376836,0.050737670380353,10,0.444057079181075,0.0508037896861017,10,3.3238042332232,2.786653436515843,10,0.4644325924664736,0.0869255588154662,10,0.4644325924664736,0.0869255588154662,10,0.4429628705233336,0.0885226845174569,10,9.871829664632678,12.949716252633351,10
4,multisine,ale_frechet,45,optim-lr_1e-2__regularization-l2_0.1__similarity-keep_epochs_3__similarity-update_every_10,10.0,3.0,0.1,0.01,4.5,3.027650354097492,10,49.3,38.10526356175891,10,0.4595810651779174,0.1215223482054657,10,6.663712024688721,3.2954933664503647,10,0.5072983980178833,0.2619602054640548,10,0.00863618850708,0.0006984820656715,10,3.074317479133606,1.6876896129382457,10,0.6343014001846313,0.3394817604161686,10,10.88826549053192,5.581031148390067,10,0.5393018212914467,0.0505678265399119,10,0.5393018212914467,0.0505678265399119,10,0.3984765952825546,0.0722765428831265,10,1.6212272453308103,1.517788172364056,10,0.4666062487661838,0.0500947671844869,10,0.4666062487661838,0.0500947671844869,10,0.4439087750017642,0.0498727917086363,10,1.426081634014845,0.6636751483694109,10,0.4595874755829573,0.1215192468695731,10,0.4595874755829573,0.1215192468695731,10,0.43749451123178,0.122131337835728,10,4.216546412482858,6.046896867040202,10
5,multisine,ale_frechet,51,optim-lr_1e-2__regularization-l2_0.1__similarity-keep_epochs_5__similarity-update_every_10,10.0,5.0,0.1,0.01,4.5,3.027650354097492,10,41.6,22.584163576374586,10,0.4630683988332748,0.1226081082807894,10,6.181062150001526,2.010838091979267,10,0.4704564332962036,0.1612125957928082,10,0.0081822872161865,0.0004498897589251,10,2.649483585357666,0.9362426686087864,10,0.5514489650726319,0.1914314242111797,10,9.860633420944216,3.297612577455445,10,0.542735306918621,0.0485001972888202,10,0.542735306918621,0.0485001972888202,10,0.4086353695392609,0.068395230975862,10,1.199434023499489,0.5316990675537304,10,0.4691558603197335,0.049238066311834,10,0.4691558603197335,0.049238066311834,10,0.4461895903944969,0.0492475889049282,10,0.9442636901140212,0.4457997828454966,10,0.4630677346140146,0.1226119781731623,10,0.4630677346140146,0.1226119781731623,10,0.4420992011576891,0.1227782453118211,10,2.0094490235298865,1.275347194955204,10
6,multisine,ale_frechet,11,optim-lr_1e-2__regularization-l2_0.01__similarity-keep_epochs_1__similarity-update_every_3,3.0,1.0,0.01,0.01,4.5,3.027650354097492,10,24.3,16.357465166298436,10,0.481801363825798,0.0716289499731441,10,4.59437358379364,1.47131882310822,10,0.342418098449707,0.114323237788184,10,0.0087024927139282,0.0007861419566108,10,2.026191306114197,0.6023338926834763,10,1.4487722396850586,0.4601665288081993,10,8.42045772075653,2.643480253407739,10,0.538727722465992,0.0493330595308004,10,0.538727722465992,0.0493330595308004,10,0.4034605887532233,0.0724362847041876,10,1.3175788456201551,0.8386594726002536,10,0.4704673773050308,0.0553301217328966,10,0.4704673773050308,0.0553301217328966,10,0.4483608774840831,0.0545813574643254,10,1.4584629590064284,1.328470115811147,10,0.481819998472929,0.0716425867980936,10,0.481819998472929,0.0716425867980936,10,0.4590509559214115,0.0725225342462677,10,2.019682029336691,2.0609700924018863,10
7,multisine,ale_frechet,21,optim-lr_1e-2__regularization-l2_0.1__similarity-keep_epochs_1__similarity-update_every_5,5.0,1.0,0.1,0.01,4.5,3.027650354097492,10,32.2,7.714344503009385,10,0.4680162489414215,0.1176649072399547,10,5.1146406650543215,0.6804577724604101,10,0.3775054216384887,0.053566112667107,10,0.0083091974258422,0.000455819578726,10,2.195289897918701,0.3162683340809822,10,0.9884008646011352,0.1336184975965714,10,8.684146046638489,1.175530950128364,10,0.5462213918566704,0.0516565967328506,10,0.5462213918566704,0.0516565967328506,10,0.4120976611971855,0.0725075795178228,10,1.8870898801088332,0.851297504345262,10,0.4726047723740339,0.0686888526089555,10,0.4726047723740339,0.0686888526089555,10,0.4497954543679953,0.0679278493005609,10,1.8795697750896216,1.6813834431346562,10,0.4680296501517295,0.1176487953349894,10,0.4680296501517295,0.1176487953349894,10,0.4463847593963145,0.1176896972047862,10,3.400389466434717,2.779944410645784,10
8,multisine,ale_frechet,47,optim-lr_1e-2__regularization-l2_0.01__similarity-keep_epochs_3__similarity-update_every_10,10.0,3.0,0.01,0.01,4.5,3.027650354097492,10,44.2,25.13872621187389,10,0.4757550656795501,0.0751856499723097,10,6.211043930053711,2.1500593152896146,10,0.4708021163940429,0.1746974206432526,10,0.008370018005371,0.0004258511077426,10,2.881898617744446,1.1271311117621476,10,0.6025361299514771,0.231329788811121,10,10.174650812149048,3.680298781418746,10,0.5330969229340553,0.0454358113743884,10,0.5330969229340553,0.0454358113743884,10,0.3918974584341049,0.0642100630041678,10,1.2609684723615646,0.7671397081970948,10,0.4727987065166235,0.0397484507951592,10,0.4727987065166235,0.0397484507951592,10,0.4509482807666063,0.0398641835390692,10,1.2576642001420262,0.5495335163358875,10,0.4757686132937669,0.0751810288184163,10,0.4757686132937669,0.0751810288184163,10,0.454394060075283,0.0756186771947268,10,2.1651790849864483,1.3566517365061594,10
9,multisine,ale_frechet,9,optim-lr_1e-2__regularization-l2_0.1__similarity-keep_epochs_1__similarity-update_every_3,3.0,1.0,0.1,0.01,4.5,3.027650354097492,10,22.0,22.48950372457733,10,0.4637363016605377,0.0679191818405403,10,4.317686319351196,1.9447560891767464,10,0.3183415412902832,0.1515601828970332,10,0.0091020345687866,0.001711340527132,10,1.8970186471939088,0.8764154655357839,10,1.376603603363037,0.638377019503087,10,7.918752145767212,3.605739595403103,10,0.5509010064601898,0.0538771402937683,10,0.5509010064601898,0.0538771402937683,10,0.4287870380282402,0.0775586795502098,10,2.207838614583016,1.1805375782938634,10,0.4747614516317844,0.0693431316059328,10,0.4747614516317844,0.0693431316059328,10,0.4511211764067411,0.0687618554094799,10,1.906240681409836,1.1814254436210152,10,0.4637448100745677,0.0679164439166804,10,0.4637448100745677,0.0679164439166804,10,0.4421684663742781,0.0680536959741699,10,4.10068647198379,4.10541276363588,10
10,multisine,ale_frechet,50,optim-lr_1e-3__regularization-l2_0.001__similarity-keep_epochs_3__similarity-update_every_10,10.0,3.0,0.001,0.001,4.5,3.027650354097492,10,38.1,23.48261768486072,10,0.5066481530666351,0.0711835796673832,10,5.69235851764679,2.022663035523606,10,0.4267898321151733,0.1572415286209969,10,0.0092408895492553,0.0033166471075576,10,2.6167080402374268,0.9997357941323411,10,0.5413246870040893,0.2029371082818388,10,9.286421966552734,3.381237558793457,10,0.5445846417546273,0.046753720126426,10,0.5445846417546273,0.046753720126426,10,0.4038469851016998,0.0654528820892478,10,0.8449013018608094,0.2739052064098782,10,0.4748165952414274,0.0491256331781186,10,0.4748165952414274,0.0491256331781186,10,0.4527649451047182,0.0493296812364794,10,0.9692417109012604,0.2966154449281574,10,0.5066498670727014,0.071187649999759,10,0.5066498670727014,0.071187649999759,10,0.4860478144139051,0.0708202411063111,10,1.7151352319121362,0.9030137538152484,10
