dataset,method,combo_index,combo_tag,sweep__similarity__update_every,sweep__similarity__keep_epochs,sweep__regularization__l2,sweep__optim__lr,seed_mean,seed_std,seed_n,best_epoch_mean,best_epoch_std,best_epoch_n,best_test_loss_mean,best_test_loss_std,best_test_loss_n,time_train_mean,time_train_std,time_train_n,time_validation_mean,time_validation_std,time_validation_n,time_test_mean,time_test_std,time_test_n,time_ale_mean,time_ale_std,time_ale_n,time_similarity_mean,time_similarity_std,time_similarity_n,total_time_mean,total_time_std,total_time_n,train_loss_mean,train_loss_std,train_loss_n,train_rmse_mean,train_rmse_std,train_rmse_n,train_mae_mean,train_mae_std,train_mae_n,train_mape_mean,train_mape_std,train_mape_n,val_loss_mean,val_loss_std,val_loss_n,val_rmse_mean,val_rmse_std,val_rmse_n,val_mae_mean,val_mae_std,val_mae_n,val_mape_mean,val_mape_std,val_mape_n,test_loss_mean,test_loss_std,test_loss_n,test_rmse_mean,test_rmse_std,test_rmse_n,test_mae_mean,test_mae_std,test_mae_n,test_mape_mean,test_mape_std,test_mape_n,update,keep,baseline_test_rmse_mean,baseline_test_mae_mean,baseline_total_time_mean,rel_rmse_pct,rel_mae_pct,relative_speedup
multisine,ale_frechet,5,optim-lr_1e-2__regularization-l2_0.01__similarity-keep_epochs_1__similarity-update_every_1,1.0,1.0,0.01,0.01,1.5,1.2909944487358056,4,30.0,24.67117075995111,4,0.4161277487874031,0.053648571410423,4,4.885348260402679,2.1336600133873613,4,0.4867603778839111,0.2255751608780867,4,0.0206775069236755,0.0097867314294145,4,1.307867407798767,0.6768493370310344,4,3.127039074897766,1.3898900197506932,4,9.8276926279068,4.416088562698369,4,0.5341456606984138,0.0456793604955791,4,0.5341456606984138,0.0456793604955791,4,0.3961148336529732,0.0641282836308789,4,0.9870364665985109,0.428769532029306,4,0.4841935932636261,0.0857009174598953,4,0.4841935932636261,0.0857009174598953,4,0.4601971879601478,0.0821350911518355,4,0.9397625774145126,0.136997099738363,4,0.4161141067743301,0.0536433600412044,4,0.4161141067743301,0.0536433600412044,4,0.3949362635612488,0.055700668141788,4,1.1464346945285795,0.5432440913994377,4,1,1,0.4161141067743301,0.3949362635612488,9.8276926279068,0.0,0.0,1.0
multisine,ale_frechet,12,optim-lr_1e-3__regularization-l2_0.01__similarity-keep_epochs_1__similarity-update_every_3,3.0,1.0,0.01,0.001,1.5,1.2909944487358056,4,62.25,37.3217988133834,4,0.4081818461418152,0.0497445327401145,4,8.520609974861145,3.847581962028103,4,0.4609997272491455,0.2234169381154341,4,0.0145632028579711,0.0065322909324037,4,2.100521981716156,0.9880629961698,4,1.6295804381370544,0.6819148852809415,4,12.726275324821472,5.741424984362549,4,0.5318751707673073,0.045477380809204,4,0.5318751707673073,0.045477380809204,4,0.3859912157058716,0.0648867037107268,4,0.7954908907413483,0.3618842095378203,4,0.478405237197876,0.0895949855972532,4,0.478405237197876,0.0895949855972532,4,0.453409880399704,0.0862522966779107,4,0.7947792708873749,0.1859434583406848,4,0.4082024693489074,0.049745228598452,4,0.4082024693489074,0.049745228598452,4,0.3883130997419357,0.0495555997434583,4,1.0722459256649015,0.3542244053578764,4,3,1,0.4161141067743301,0.3949362635612488,9.8276926279068,-1.9013143982915648,-1.6770209348693887,0.7722363674419926
multisine,ale_frechet,18,optim-lr_1e-3__regularization-l2_0.01__similarity-keep_epochs_3__similarity-update_every_3,3.0,3.0,0.01,0.001,1.5,1.2909944487358056,4,105.5,71.71471257698799,4,0.4237940907478332,0.0495578035496555,4,8.593576550483704,4.741800711648279,4,0.6095675826072693,0.3143067412028385,4,0.0129213333129882,0.0080650415418193,4,2.594415307044983,1.4009905216038478,4,1.9942737221717837,1.064574092828643,4,13.804754495620728,7.498770792651097,4,0.5381718650460243,0.0405080533102837,4,0.5381718650460243,0.0405080533102837,4,0.394519455730915,0.0606484583616974,4,0.8381131291389465,0.3775284264742821,4,0.4825469553470611,0.0869955836140309,4,0.4825469553470611,0.0869955836140309,4,0.4579527825117111,0.082847821000559,4,0.8834713250398636,0.1271972656244728,4,0.4237882867455482,0.0495594899571317,4,0.4237882867455482,0.0495594899571317,4,0.4041813090443611,0.048689098778815,4,0.9639589637517928,0.2946798265115456,4,3,3,0.4161141067743301,0.3949362635612488,9.8276926279068,1.8442489322718414,2.340895566223078,0.7119063675507182
multisine,ale_frechet,21,optim-lr_1e-2__regularization-l2_0.1__similarity-keep_epochs_1__similarity-update_every_5,5.0,1.0,0.1,0.01,1.5,1.2909944487358056,4,35.25,12.658988901172163,4,0.4117978140711784,0.0508351104944625,4,3.415450692176819,0.4822535851417726,4,0.2488321661949157,0.0369151913706431,4,0.0069687962532043,0.0062306872467474,4,1.2106271386146543,0.1046783526203299,4,0.6107153296470642,0.1057057455243354,4,5.492594122886658,0.6429476648765164,4,0.5369408279657364,0.0416482302391113,4,0.5369408279657364,0.0416482302391113,4,0.4059423059225082,0.0527868921183451,4,1.283614620566368,0.4242115741930321,4,0.4744815900921821,0.0919463300607565,4,0.4744815900921821,0.0919463300607565,4,0.4503601714968681,0.0873015725965379,4,1.518042117357254,0.9661444520595256,4,0.4117906838655472,0.050803657091601,4,0.4117906838655472,0.050803657091601,4,0.3895677402615547,0.0504427670214899,4,1.983497887849808,0.422588928274012,4,5,1,0.4161141067743301,0.3949362635612488,9.8276926279068,-1.0389993606074954,-1.3593391630549734,1.7892624883671198
multisine,ale_frechet,32,optim-lr_1e-3__regularization-l2_0.001__similarity-keep_epochs_3__similarity-update_every_5,5.0,3.0,0.001,0.001,1.5,1.2909944487358056,4,82.25,46.52150040572639,4,0.4423364251852035,0.0776662139155245,4,6.510258674621582,3.1510825536944305,4,0.4947701096534729,0.2571558524004024,4,0.0123542547225952,0.0068553138800813,4,2.335995078086853,1.25482739721423,4,1.0849468111991882,0.5879318950123146,4,10.438324928283691,5.248252790623848,4,0.5169247016310692,0.0303131071541786,4,0.5169247016310692,0.0303131071541786,4,0.3631622195243835,0.0400812602376869,4,0.7010682821273804,0.1216694205674446,4,0.4531013667583465,0.0496294063308235,4,0.4531013667583465,0.0496294063308235,4,0.4312496557831764,0.0507760200195637,4,0.910769671201706,0.2179127279585859,4,0.4423312470316887,0.077669835004463,4,0.4423312470316887,0.077669835004463,4,0.4235821142792701,0.0766587017742035,4,1.143302246928215,0.2115271982908845,4,5,3,0.4161141067743301,0.3949362635612488,9.8276926279068,6.3004689892854016,7.253284481833555,0.9415009300273531
multisine,ale_frechet,38,optim-lr_1e-3__regularization-l2_0.001__similarity-keep_epochs_5__similarity-update_every_5,5.0,5.0,0.001,0.001,1.5,1.2909944487358056,4,55.5,29.692872320923527,4,0.4457882419228554,0.0755577251263102,4,5.591569423675537,2.069952848821571,4,0.4259378314018249,0.1974369086432135,4,0.0043531656265258,0.0009454810032203,4,1.6653798818588257,0.772709713325829,4,0.8250270485877991,0.3388309650583206,4,8.512267351150513,3.323771103523585,4,0.5234814137220383,0.0261712653159403,4,0.5234814137220383,0.0261712653159403,4,0.3715794533491134,0.0355664538646647,4,0.7196429073810577,0.1044242573032814,4,0.4574163854122162,0.0469167300510008,4,0.4574163854122162,0.0469167300510008,4,0.435372494161129,0.0481517845101728,4,0.9423457086086272,0.2218359219469206,4,0.4458113461732864,0.0755412736319796,4,0.4458113461732864,0.0755412736319796,4,0.4266027435660362,0.0748202053604909,4,1.0825507640838623,0.3738820146592731,4,5,5,0.4161141067743301,0.3949362635612488,9.8276926279068,7.1368018808989575,8.0181241700223,1.1545328902972596
multisine,ale_frechet,39,optim-lr_1e-2__regularization-l2_0.1__similarity-keep_epochs_1__similarity-update_every_10,10.0,1.0,0.1,0.01,1.5,1.2909944487358056,4,46.75,25.157835094989128,4,0.4249979108572006,0.0821262382516388,4,3.776449918746948,1.298241365844508,4,0.2959364652633667,0.1091737454105063,4,0.0068983435630798,0.0051448063217684,4,1.5513391494750977,0.6286689519042654,4,0.3779371976852417,0.1525771056258573,4,6.008561074733734,2.184509900119529,4,0.5315520986914635,0.0403089889617949,4,0.5315520986914635,0.0403089889617949,4,0.406041607260704,0.063834100046557,4,1.9545297920703888,1.064746917365028,4,0.4532724618911743,0.0496546879631364,4,0.4532724618911743,0.0496546879631364,4,0.4301660135388374,0.0514094387683099,4,1.975823551416397,2.349625518758299,4,0.4249914139509201,0.0821371414171598,4,0.4249914139509201,0.0821371414171598,4,0.4029270932078361,0.0835476980941681,4,13.277918547391891,23.14447629499792,4,10,1,0.4161141067743301,0.3949362635612488,9.8276926279068,2.133382894755931,2.0233213264671646,1.635615000941354
multisine,ale_frechet,45,optim-lr_1e-2__regularization-l2_0.1__similarity-keep_epochs_3__similarity-update_every_10,10.0,3.0,0.1,0.01,1.5,1.2909944487358056,4,36.0,14.212670403551895,4,0.4189024418592453,0.0740956795311983,4,3.384852230548858,0.5040115561092622,4,0.2457972168922424,0.0363858357460003,4,0.0061638355255126,0.0052332821667118,4,1.1392894983291626,0.1253700021345463,4,0.2691093683242798,0.0307179909296081,4,5.045212149620056,0.6558076280903793,4,0.5178471878170967,0.0310024557381874,4,0.5178471878170967,0.0310024557381874,4,0.3683304786682129,0.0440487135360856,4,0.9706577211618423,0.4040699123632021,4,0.4547893702983856,0.0474747344335571,4,0.4547893702983856,0.0474747344335571,4,0.4315736517310142,0.0487499245456282,4,0.9019553810358047,0.3231378693994192,4,0.4188834428787231,0.0740854057316402,4,0.4188834428787231,0.0740854057316402,4,0.3980357348918915,0.0752807607115745,4,1.3260035440325737,1.227463096481823,4,10,3,0.4161141067743301,0.3949362635612488,9.8276926279068,0.6655232445399673,0.7848029205254292,1.9479245543018249
multisine,ale_frechet,51,optim-lr_1e-2__regularization-l2_0.1__similarity-keep_epochs_5__similarity-update_every_10,10.0,5.0,0.1,0.01,1.5,1.2909944487358056,4,46.75,36.34441726959818,4,0.4125186502933502,0.077926781061176,4,5.040924906730652,2.258010892603909,4,0.3336893916130066,0.1695236272382814,4,0.0082078576087951,0.0067917458185876,4,1.5732759237289429,0.9006742021020481,4,0.3699311017990112,0.2036367623089156,4,7.326029181480408,3.4836423745220806,4,0.5176095962524414,0.0306850145538492,4,0.5176095962524414,0.0306850145538492,4,0.3673700392246246,0.041143031125235,4,0.8720880150794983,0.4285196719624243,4,0.4560174345970154,0.0498865110081723,4,0.4560174345970154,0.0498865110081723,4,0.4333873689174652,0.0510022654425144,4,0.9264939576387404,0.2892645976363936,4,0.4125063642859459,0.077896243552181,4,0.4125063642859459,0.077896243552181,4,0.3915701732039451,0.0785644761065328,4,0.9315057918429376,0.5285428860486353,4,10,5,0.4161141067743301,0.3949362635612488,9.8276926279068,-0.8670079744113934,-0.8523123014713141,1.3414760417212628
multisine,ale_frechet,57,optim-lr_1e-2__regularization-l2_0.1__similarity-keep_epochs_10__similarity-update_every_10,10.0,10.0,0.1,0.01,1.5,1.2909944487358056,4,40.5,11.030261405182864,4,0.4093963429331779,0.0796853164949739,4,4.954290926456451,1.410622467230887,4,0.3007400631904602,0.0755795214093736,4,0.0094437599182128,0.0059264699745574,4,1.423703372478485,0.4356620818424249,4,0.3269677758216858,0.1033623298919527,4,7.015145897865295,1.9401346453394304,4,0.517111137509346,0.0303585483160828,4,0.517111137509346,0.0303585483160828,4,0.3637869134545326,0.0404352736217575,4,0.8155251517891884,0.3796048994225449,4,0.4618335962295532,0.0446153930584455,4,0.4618335962295532,0.0446153930584455,4,0.4389425814151764,0.0459194138049032,4,0.9247008860111235,0.323525239120801,4,0.4094158783555031,0.0796799536210439,4,0.4094158783555031,0.0796799536210439,4,0.3881101757287979,0.0812458551004128,4,0.778946191072464,0.3419131683687904,4,10,10,0.4161141067743301,0.3949362635612488,9.8276926279068,-1.6097095267331607,-1.7284023935655202,1.4009249089028013
