metric,method_rank,method,avg_rank,std_rank,n_datasets
test_mae,1,ale_frechet,2.8333333333333335,0.983192080250175,6
test_mae,1,mmoe,2.8333333333333335,2.48327740429189,6
test_mae,3,soft,3.1666666666666665,2.401388487243717,6
test_mae,4,crossstitch,3.8333333333333335,1.4719601443879746,6
test_mae,5,single_task_mlp,4.4,1.5165750888103102,5
test_mae,6,hard,4.833333333333333,0.9831920802501749,6
test_mae,7,ple,6.0,2.5298221281347035,6
test_mae,8,mtan,7.5,0.8366600265340756,6
test_rmse,1,ale_frechet,2.6666666666666665,0.816496580927726,6
test_rmse,1,mmoe,2.6666666666666665,2.581988897471611,6
test_rmse,3,soft,3.0,2.280350850198276,6
test_rmse,4,crossstitch,3.8333333333333335,1.1690451944500122,6
test_rmse,5,single_task_mlp,4.2,1.6431676725154984,5
test_rmse,6,hard,4.833333333333333,1.4719601443879746,6
test_rmse,7,ple,6.833333333333333,1.1690451944500124,6
test_rmse,8,mtan,7.333333333333333,0.8164965809277259,6
total_time,1,mtan,2.3333333333333335,2.804757862395017,6
total_time,2,hard,3.1666666666666665,1.329160135825126,6
total_time,3,single_task_mlp,3.2,2.7748873851023212,5
total_time,4,ple,3.8333333333333335,1.329160135825126,6
total_time,5,soft,4.333333333333333,2.0655911179772892,6
total_time,6,mmoe,5.166666666666667,0.7527726527090811,6
total_time,7,ale_frechet,6.5,1.8708286933869707,6
total_time,8,crossstitch,6.666666666666667,1.0327955589886446,6
